Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500,R=3000
280,9085,38308,86722,169822,199719,139192,268011
281,4657,51321,64209,73915,116720,611438,535953
282,6782,17697,59370,139884,113795,226754,353961
283,7753,11258,78935,83508,193852,483283,447618
284,8132,19548,27301,129329,397513,179269,564830
285,4801,21972,71541,104968,278595,518730,248867
286,6690,28584,92805,157220,219141,503995,144072
287,16669,11680,66172,101172,138522,246454,359466
288,10824,21447,74493,126758,183873,299689,277412
289,8576,26001,66854,157869,251276,198759,166665
290,5160,10940,114327,342061,162622,167854,477983
291,10005,21982,30550,87604,179345,328830,430658
292,6703,13940,54483,88629,250056,112597,367799
293,3063,16524,42780,211387,160158,203631,425380
294,11172,15025,54074,98607,130375,158626,297214
295,2817,26360,55831,77917,203468,211192,289811
296,7544,10781,70757,78075,258888,314036,482730
297,3686,25639,50536,87452,120354,458008,401226
298,5558,11139,60400,65113,229459,249768,197094
299,3359,30778,37169,119679,265306,331587,325863
300,4706,10495,61425,197422,150478,243226,338944
301,8127,26094,26063,177873,180265,239702,276011
302,4848,24544,23455,93377,194461,207546,686562
303,7875,19027,65531,214331,263380,268428,146266
304,3452,17081,83933,86288,164073,236338,149842
305,7109,19658,26582,156727,279830,238116,811283
306,4990,45767,59670,168155,228021,278848,212893
307,6413,39632,125759,107024,300333,189168,285496
308,10191,64791,32702,138998,88709,933655,238638
309,8146,37097,54089,162125,144290,147323,372455
310,4253,26000,41032,90030,222221,273652,546071
311,7641,13585,57583,126570,118477,293967,146987
312,3110,32210,108002,75689,137643,331742,247454
313,2616,9355,31324,176878,165519,401254,749324
314,6395,27721,58287,336813,550404,206461,256249
315,6352,13581,31692,93848,104400,765076,427378
316,8086,13308,112781,104155,134793,511007,201474
317,5140,20474,35483,88899,261783,345920,321856
318,3969,11295,49530,55974,151353,425831,664755
319,5928,14899,49290,182898,306301,288518,260102
320,5564,10116,80506,189979,143484,567240,525575
321,6841,45619,32773,59859,212662,166234,384242
322,4853,9390,51430,100241,276169,261033,674296
323,6535,11385,88123,62704,155138,260568,434000
324,5274,10668,82562,404495,149966,298683,265578
325,4697,25543,62243,120697,348982,381560,411975
326,4688,31327,70923,141072,92968,361932,198006
327,8877,15864,70246,314876,214683,269024,602298
328,8895,27965,90565,96814,201687,270408,166043
329,5880,21092,65102,203417,181398,375992,203227
330,7564,29054,42048,79911,600291,433943,410571
331,10187,31756,62925,95382,211739,167356,155286
332,8641,21748,96207,89224,222199,158724,256499
333,5161,23293,32537,122594,341908,198404,413296
334,4039,15500,46614,123080,105219,267343,271083
335,6216,19804,67262,99234,99650,268966,551501
336,4160,16934,68049,76036,302408,112072,342726
337,7299,28749,135514,233567,162790,260066,217467
338,4548,7344,61600,90795,284774,456276,398494
339,3263,25057,57725,103594,137684,256487,515402
340,5077,10059,54960,131588,140826,155747,360681
341,4833,22835,41662,208610,184652,215137,274698
342,5499,15611,65807,135050,233334,358816,415962
343,5519,16671,88521,112645,103864,276927,369543
344,7125,38637,41991,147162,109271,355857,196815
345,5471,30737,93270,126234,139214,225773,810093
346,2803,12807,41423,189491,155494,132742,353157
347,3514,25163,62243,177789,111763,256672,362633
348,7902,24232,180858,100494,177415,277260,531085
349,5710,26119,45034,142877,152851,203800,641266
350,6800,12174,44869,98276,222516,421197,419109
351,3178,17130,63309,61874,134763,123506,258677
352,3868,26736,51279,124559,162499,226336,305832
353,3655,27712,54612,158892,126324,189571,281572
354,5919,23331,71682,63007,157834,203132,166459
355,6730,15360,145410,110050,152512,294705,710482
356,7065,20858,117196,136369,181803,367485,386094
357,6097,30586,52146,113793,301840,412537,385767
358,5191,25171,116578,64922,131128,155477,351132
359,6854,30869,59484,168916,312469,390991,195359
360,5822,31454,35500,89713,106110,325239,558424
361,12892,22147,46760,133526,144385,283455,319695
362,5111,34423,31121,68400,135361,547587,186472
363,5921,15835,47744,171309,175679,300339,336805
364,5585,33065,51000,106993,115494,680951,322837
365,4430,38201,130885,132667,154715,451531,320606
366,3390,17216,33451,74073,118226,399247,346198
367,4701,16637,67745,328609,79980,344983,353413
368,12407,20674,121507,99712,137840,218268,608565
369,3620,37832,59622,90758,172522,277266,336446
370,3879,21881,63302,187521,100895,237643,159994
371,3575,22673,63287,99240,241804,376926,416439
372,5386,25480,60732,79341,352471,163069,282420
373,5875,18727,79455,96573,81612,189314,589473
374,4927,10140,40327,91688,155657,370835,221215
375,5940,8626,47998,125484,440475,248788,778476
376,6968,23008,51666,123586,189584,300344,402872
377,4353,19843,61846,101695,157920,213279,242590
378,4259,25375,75418,121120,88930,274654,595001
379,7150,16616,68187,107477,278575,228239,806584
380,6863,10928,36289,126150,132308,143747,481907
381,9522,35617,38844,183849,169977,220926,703601
382,4091,19592,85188,60953,79059,223367,530129
383,3948,23032,99888,173755,157272,147899,374357
384,4212,17563,61158,155713,295424,329323,258808
385,6826,13934,46027,104708,219017,206977,768935
386,4196,20926,53073,107455,143823,277388,288227
387,6867,21593,39401,111307,126005,404294,431594
388,3394,29643,57298,130340,357876,112327,600099
389,3880,12559,60755,211324,228851,276536,335731
390,6915,11254,60379,94679,234511,362419,335752
391,5787,20415,68509,106724,259097,346147,313156
392,8393,12744,65460,113778,440308,450858,170401
393,7548,14372,31471,62698,205797,380053,227284
394,3868,21721,121603,81197,254139,201052,413989
395,3736,27880,102414,123367,356998,210139,672444
396,6330,15154,35735,295409,95842,260364,889889
397,4677,11996,51602,76014,578176,125758,485678
398,6886,18820,63162,98923,224036,220374,335641
399,3787,12430,49621,171149,160639,209304,427918
400,3954,17418,91266,119267,129365,147838,303872
401,9048,22712,31682,56109,400202,276797,255712
402,6527,18326,84422,217986,122163,267742,548335
403,6721,22739,73110,163673,243743,237555,293728
404,9245,8388,66595,142507,196108,309901,435864
405,4283,31513,48998,108854,166213,237021,275673
406,6042,24117,62553,112140,127161,396835,332074
407,5753,18795,100813,156836,193524,137239,397573
408,7020,25084,61527,77309,212970,184095,462601
409,9933,17470,61702,131667,139875,368617,529127
410,6401,13642,34876,99958,198817,492682,916773
411,5982,13239,24501,55095,336854,244433,292030
412,5858,35929,39351,110008,233996,174473,550395
413,7924,32715,40571,68404,303716,154844,270161
414,6815,16657,111638,148663,82443,361404,270944
415,4701,14399,55055,109123,556750,271012,321066
416,10092,15296,70163,145459,122465,710615,502211
417,5794,23995,47601,81305,158400,357659,261826
418,9815,20861,31298,185043,196827,319049,484871
419,7400,15390,56860,94658,182665,188982,351704
420,9083,12025,42959,92315,216465,383609,170124
421,8849,11665,39648,87573,147945,273914,256413
422,6228,35298,82785,94036,185055,364162,283866
423,5034,27003,40522,181944,257696,146096,214906
424,12269,15052,46784,67716,132214,247112,586206
425,9348,40955,122260,144817,113163,164772,522146
426,10235,36324,71193,143667,134895,131654,310236
427,7248,14883,65175,171589,118890,259910,584384
428,4909,31651,85535,62695,109707,222025,637732
429,8275,16175,49876,108284,154308,346748,436951
430,10326,14677,60775,72615,116673,291624,318186
431,10124,29062,54250,62340,122221,199082,348976
432,4468,20328,36179,72053,119452,122613,357367
433,5721,21845,151435,259610,279746,234816,151668
434,4956,14064,52335,38842,489071,139896,317622
435,5265,12236,30149,106405,100935,325188,163640
436,6724,27713,51086,115603,180717,184002,378293
437,5054,16735,26641,121998,228147,377882,780063
438,6830,7223,59416,135770,104483,120093,265324
439,5443,30420,65688,193970,294158,317336,474974
440,6546,30149,58280,70970,171805,816211,286562
441,5112,44402,28051,130001,225002,607249,273607
442,7532,39860,52379,104440,154965,139240,268545
443,5745,11726,56627,91871,181945,203783,1052114
444,6286,14133,75561,94156,173964,130519,278021
445,3499,37606,54020,66607,159533,762719,346845
446,2743,17563,179543,62013,139164,323014,323423
447,7830,23588,47579,62754,119475,213726,304627
448,8114,15438,68003,128024,246567,663192,459821
449,4474,23020,65701,236461,257627,228038,273936
450,5630,35482,76957,91834,242885,256722,177110
451,6109,25916,72013,142390,299870,475611,259328
