Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500
265,3424,25805,58615,70700,206880,190404
266,3580,13849,69387,105724,252359,363323
267,4033,28621,109869,143254,149303,232965
268,7416,13790,70516,104149,189307,433767
269,3920,16181,56984,91516,87418,165856
270,6578,18303,36329,160223,257675,250039
271,9107,26217,64873,136594,146888,250651
272,4268,20420,27803,95553,173356,209343
273,5146,29789,59042,109479,183787,221710
274,6299,20746,50304,77382,107435,198124
275,6289,45846,42579,93382,292998,597283
276,5069,22863,57398,108230,345035,638020
277,3573,20356,81075,218611,338038,207279
278,9285,17460,101185,152230,200724,174314
279,7450,10596,106869,54350,225147,217928
280,3367,27919,38011,103780,320724,124410
281,3082,22831,64751,154585,150438,277079
282,4603,17820,73171,114933,222996,234503
283,3552,24557,43597,108476,175803,177482
284,5066,11349,100814,202285,329417,172279
285,18286,18237,27997,95621,176899,583767
286,10681,16413,43025,190610,171079,229990
287,7843,28730,69797,223546,214828,258687
288,6151,13438,36917,92666,219870,248050
289,6686,26833,50510,195615,176423,429512
290,6774,17588,45079,122947,370364,462344
291,7611,26210,53673,70431,328369,411683
292,13968,30250,99016,160566,252382,163595
293,5678,15253,49183,291277,292379,161603
294,5720,22621,62751,146887,194646,159157
295,17137,17781,36584,175734,372694,242247
296,3911,33293,51484,71023,193673,471848
297,4227,15006,48878,133788,171592,157319
298,13757,19630,77451,112871,243014,234142
299,8638,13549,69318,91079,265112,427779
300,6453,11324,73953,64953,244920,269765
301,5365,15501,56360,116582,438641,369280
302,10658,10152,72630,213322,158993,212180
303,3853,15110,74176,163688,184072,202424
304,4776,20571,56584,211930,181737,380524
305,6171,19203,57556,88856,154957,490218
306,5330,13901,60631,171242,368033,539005
307,4451,26734,35072,228788,108981,295263
308,8446,15370,104310,130687,154884,136918
309,3940,23634,74142,89009,189142,265417
310,14318,49879,117382,195534,103784,185299
311,5736,20408,47517,63825,128812,198113
312,5703,15705,116935,90451,458428,661844
313,6453,21850,89686,117545,145277,150936
314,8958,19192,126714,95799,486103,217184
315,6405,28934,62161,107001,173892,424854
316,9187,17307,77088,106011,124815,263923
317,5533,21390,59903,100524,448440,196528
318,4349,19186,89191,250584,153407,205253
319,4903,15546,61164,68888,64944,468402
320,3506,14656,56918,124905,287583,722261
321,6102,24613,78258,56617,277994,310987
322,4341,16396,35819,150596,119938,170016
323,7432,15327,30697,188560,206838,207497
324,9717,14270,60900,77626,466290,183076
325,10048,21102,75573,120669,137805,235184
326,5433,9642,56146,89795,97601,220355
327,7985,23811,58301,142264,226744,159428
328,8622,36777,84897,117133,210711,483309
329,8002,14167,66954,112057,190572,280125
330,7251,19171,52831,181756,92188,368896
331,5636,25264,150369,64647,95891,259258
332,6839,14457,82527,224082,116385,151536
333,8181,29102,79832,158200,146630,346623
