Trial,R=250,R=500,R=1000,R=2000
343,3479,22606,29014,289046
344,6969,14295,69525,96285
345,10391,20601,108298,181820
346,4962,18108,48109,277676
347,3558,12638,43980,187242
348,6343,13179,82184,117290
349,5848,18120,42509,150322
350,14071,16943,110673,182530
351,4785,21257,74040,209059
352,9568,30152,32527,284937
353,7899,17652,46519,249160
354,5551,17557,44350,161217
355,9609,13570,60339,241301
356,11240,26883,51703,218437
357,4493,44941,80146,121281
358,9984,36099,71532,233518
359,6480,21526,51268,110880
360,8103,48423,75756,121128
361,9310,24277,47052,174362
362,3008,26456,34409,317872
363,7873,15255,82575,123385
364,5204,53193,92387,175765
365,4173,12816,32475,103744
366,10881,13269,29838,129895
367,4866,22461,41810,147905
368,10253,27911,86832,211699
369,4442,25635,61662,214421
370,9186,20315,75819,141076
371,7844,23790,148691,242324
372,6172,23272,79836,175229
373,3694,28379,69648,324616
374,7038,10886,49399,209461
375,5969,16201,41211,222239
376,6804,28933,43600,441478
377,10009,15152,34073,211586
378,7716,20235,29814,215449
379,4825,25110,96304,203821
380,5644,14950,34547,144772
381,7942,26834,73316,139246
382,6313,21436,62423,165694
383,10255,32309,83398,220297
384,6217,34460,89123,180222
385,6785,10043,87020,132234
386,6134,18090,39689,95751
387,8443,19356,47052,275846
388,6470,16279,52247,202578
389,8073,30999,61528,302782
390,6253,9524,105148,245495
391,9328,15043,108521,149645
392,4311,20517,30191,180893
393,3915,17496,102090,186457
394,7758,15970,29563,243638
395,4407,27831,54640,187835
396,6582,9951,89781,272842
397,15018,23973,59554,264161
398,4992,24874,50263,100255
399,5191,17225,73882,119388
400,6385,36039,49975,137557
401,8156,18568,100496,254195
402,5168,23502,30994,176963
403,12688,12385,54130,189251
404,8436,12785,55067,174538
405,12773,18650,51588,174438
406,7828,20034,50835,164139
407,4850,44274,61639,161698
408,6492,15980,92860,246638
409,3984,10312,143241,319345
410,8721,13453,117837,224833
411,6065,17089,65048,79009
412,5567,17233,27841,137527
413,4824,15311,81281,118373
414,3364,12779,41292,179591
415,5994,11552,101564,109407
416,6193,16865,27562,208922
417,10564,28895,42326,115032
418,9018,19274,123194,185290
419,3135,29238,135960,257576
420,7236,15388,41454,185453
421,16920,20404,58276,213238
422,3526,17347,84374,147829
423,7570,19789,66406,119876
424,3644,16646,47020,165623
425,10848,19867,59377,150645
426,13282,22709,160687,191929
427,8889,25524,44786,132349
428,6520,16736,46194,164021
429,6937,42682,59856,176279
430,8325,26762,70646,211739
431,3307,23141,25174,156547
432,6926,17587,60636,145626
433,4624,32197,69746,243010
434,5378,33098,39643,192827
435,10171,18119,156341,301298
436,3527,20792,45158,110266
437,8628,21961,57501,245405
438,6947,18973,118876,241680
439,10751,23665,57643,97868
440,5839,25782,32988,96468
441,4003,16620,123006,175010
442,4329,11788,159104,197954
443,10339,12766,29828,137322
444,6231,25852,36998,148945
445,5626,17012,88576,210857
446,5705,34428,34339,230960
447,4333,20204,32217,283421
448,5504,18064,104305,211581
449,7787,29278,43492,278275
450,6409,20987,51740,93050
451,4926,12557,46311,258282
452,3837,24292,36751,271507
453,4567,20053,93081,103667
454,5616,19202,23838,224495
455,4220,34140,47153,243115
456,4575,12915,39025,92417
457,9013,19738,76262,216469
458,6874,15053,57214,132176
459,3345,19806,65751,229555
460,7164,18732,82454,117333
461,5208,53217,60244,212169
462,3795,15833,100351,154472
463,4548,12377,46270,161545
464,10124,18006,121596,103469
465,3292,20296,124483,161064
466,5907,22042,106743,290313
467,3731,16068,49545,226713
468,8476,33149,48359,236162
469,6500,21521,137529,149452
470,5341,24111,85467,121020
471,4778,10625,57949,89845
472,12491,12338,62788,164720
473,4736,10955,54911,162222
474,9086,15634,49331,104599
475,3226,46092,44570,350726
476,19407,20050,34690,143468
477,3398,24487,86661,101776
478,7506,30961,52337,228601
479,9314,16702,37390,158952
480,6351,24958,120032,213537
481,5117,14037,46080,178710
482,4732,12921,30211,147691
483,4703,21946,30197,109475
484,21218,15195,79222,189838
485,9236,12083,58699,106072
486,6656,17377,78525,209319
487,5917,16665,52400,144739
488,18047,13426,60000,306284
489,4861,21020,46037,204864
490,4468,13609,67161,197922
491,8021,20338,60011,108521
492,3761,15165,31040,156910
493,8503,10799,49908,118286
494,4355,16521,46124,138610
495,5193,10415,74250,178081
496,7448,8801,43874,288944
497,5762,24571,71469,282852
498,6523,40952,124341,59251
499,7098,23589,73984,157547
500,3478,19384,55833,77423
501,9137,22577,44406,127453
502,5488,21924,59579,112346
503,12441,19628,76197,148055
504,4255,14450,63097,99348
505,7140,14176,142072,226624
506,7312,18256,145101,109165
507,9187,12424,65318,349476
508,4645,10444,77418,194321
509,5537,20089,34295,120593
510,7542,22066,101597,185703
511,5267,19453,91726,237260
512,14514,26642,78557,185689
513,4642,24404,53715,147908
514,4646,16647,54344,239972
515,4635,24681,62836,188903
516,4813,21766,56389,202259
517,7362,17734,51827,177303
518,3539,35305,118869,144531
519,5026,13952,64500,79434
520,16412,19869,27350,214948
521,2548,22586,62955,123454
522,4121,15499,34241,207417
523,4553,44775,49951,212080
524,4774,15031,61990,186957
525,4273,26503,45609,245825
526,5627,17754,29487,180130
527,6423,54195,85593,138349
528,7122,17551,73520,176284
529,3723,12409,81422,109827
530,4778,10280,56988,222596
531,10873,33956,62199,335169
532,9159,21136,100261,95940
533,10318,15963,128881,152036
534,5663,15650,62682,191360
535,3327,30151,53111,383732
536,4144,15672,71575,205818
537,4524,21409,96533,181985
538,5253,24198,48660,140758
539,7926,35437,47581,181291
540,4035,24516,46706,210713
541,5249,9927,48847,249875
542,8634,16702,47035,178719
543,9673,33131,41372,173489
544,5754,19264,105431,211683
545,4189,33360,79958,110378
546,4478,25946,39915,154582
547,7777,23259,99217,116333
548,3576,23663,20675,229511
549,13013,31458,62048,292653
550,4664,9856,64318,159584
551,5386,22883,39773,228082
552,3471,29546,101249,240924
553,4112,49445,59309,136589
554,5762,13736,43618,202953
555,5761,8146,51429,154491
556,4271,19753,44464,207814
557,6086,25653,61178,528124
558,3788,50302,34236,314328
559,11154,24467,56966,186695
560,5670,18267,82320,167031
561,6403,20298,47972,163775
562,9080,29118,122078,158724
563,6042,20517,37445,214645
564,6173,17253,38720,153189
565,5747,10864,62032,124856
566,6300,18570,167008,172874
567,9517,17073,34472,222354
568,3832,20889,100209,108410
569,9863,13855,69958,85101
570,5715,26587,94440,131428
571,5019,16952,156403,175162
572,3497,11757,63645,115337
573,5908,32751,51146,125380
574,3660,23997,67892,523790
575,7009,21512,59796,173826
576,9897,29507,41991,104758
577,6279,24793,52011,174281
578,6992,8836,63695,253042
579,5546,12922,63723,166524
580,8374,28267,77281,148618
581,6280,17172,50160,113076
582,5432,12135,111124,134653
583,8608,67301,88333,230160
584,5330,20227,95181,122587
585,5962,11514,69277,183420
586,4338,31223,152710,275008
587,4964,39502,56573,217891
588,8730,15965,103042,106172
589,12084,13077,61735,377770
590,4930,27645,35462,217026
591,6721,24383,94803,191795
592,5529,10658,54374,291318
593,6207,18245,61689,178881
594,13574,21734,33812,133071
595,4118,13166,40671,116331
596,5819,35115,116107,437144
597,2984,14236,46764,358252
598,6835,23706,75505,215709
599,5210,16968,52214,257900
600,5739,39417,83986,164971
601,10064,23501,35048,111425
602,5014,11857,36739,267539
603,7242,9313,41063,243393
604,7358,13358,65331,165001
605,5726,32612,44860,112975
606,8346,28899,30437,211319
607,8133,21823,43883,174452
608,12355,9717,82750,87368
609,3198,20757,54503,125783
610,10792,14521,33848,205916
611,3150,11110,76658,164666
612,6557,17700,41718,258655
613,6994,22407,92875,185050
614,6559,22540,99111,150210
615,6650,18601,65456,160879
616,6491,20825,38016,127917
617,16238,15994,48484,248515
618,6002,52272,92843,274193
619,10003,12216,91200,247640
620,7237,32604,49445,149910
621,6195,35101,59644,203013
622,8215,29458,69218,196716
623,7773,13507,44985,319856
624,6564,19137,108771,161709
625,7113,20722,41920,88525
626,5177,31871,26884,205067
627,5041,23598,58837,141986
628,11179,17193,109853,411010
629,9781,20226,85014,109435
630,13767,17448,65688,303043
631,9265,17151,94124,196909
632,7139,11320,64488,243590
633,8458,14152,58728,154777
634,10139,18030,56643,255043
635,6549,16249,50888,91386
636,5881,17289,53468,97925
637,4103,19929,35589,224171
638,9082,12853,41499,214557
639,8193,20495,81258,128875
640,4450,18294,63613,147663
641,3532,16833,32888,150288
642,5184,18632,49998,187384
643,9433,34067,42857,251058
644,8396,26470,72854,364586
645,8368,24994,61788,203535
646,5255,26508,49546,149361
647,7880,29521,70925,269537
648,9289,28138,45422,239931
649,6095,13935,48205,233908
650,5707,25493,60727,239494
651,7324,32790,59417,125261
652,4438,42873,42434,305009
653,3352,30325,51326,134273
654,12680,18703,39404,140147
655,3830,21193,97566,241062
656,3850,18435,102952,130367
657,4710,10473,55243,215635
658,13500,23930,91369,282599
659,5919,19224,89981,128292
660,9326,15800,43075,135981
661,6732,21452,40293,177997
662,4217,8787,36588,140189
663,5579,11198,55980,222995
664,2962,14004,43498,183534
665,9257,15888,63101,104731
666,5046,16112,60793,182889
667,5248,24458,111042,394147
668,10302,11122,48123,304250
669,2530,21516,159995,180121
670,3103,15183,39340,252418
671,6120,15800,72976,331039
672,7377,14345,51501,209752
673,2388,24068,54630,233385
674,5769,11198,45710,262134
675,7536,16474,46265,250616
676,6197,9590,80203,170941
677,7290,17114,47095,260322
678,5086,7253,62805,158177
679,7577,13431,35340,199285
680,5763,36315,50844,212152
681,5310,18241,50577,227431
682,5494,18787,35778,207707
683,11144,28640,48049,269531
684,11124,55494,37032,365733
685,3463,15681,72753,287550
686,7279,15417,49482,115850
687,3811,23751,42998,395696
688,6185,23115,35638,87723
689,3241,9191,59974,159701
690,8357,22989,43853,238266
691,3481,19349,50436,282284
692,4366,18999,42841,98568
693,5560,26485,49603,364028
694,11423,28296,57410,228909
695,7181,26099,90208,346493
696,8551,12966,40308,119085
697,5882,10193,95824,202875
698,7926,16045,49339,184119
699,6069,26783,35756,259093
700,5421,46349,32351,192727
701,6990,33301,39621,207817
702,4366,16498,79413,135131
703,6951,11600,64718,278248
704,4494,21572,33472,150628
705,6350,19383,48681,156086
706,12893,28849,25603,329498
707,6934,16076,46363,168109
708,5871,32652,104432,96209
709,4507,19283,75099,217056
710,3735,33904,83425,209293
711,7421,15548,64235,202188
712,4092,10241,87662,195604
713,6177,12800,46520,291227
714,7829,9425,53335,76795
715,6579,13584,65714,134205
716,9038,13827,68385,174948
717,10229,13419,90113,215897
718,9848,23795,75466,123846
719,7628,20142,39648,144615
720,7255,10470,47608,100905
721,9118,17092,62442,110262
722,3959,21517,43966,266352
723,4820,11480,109018,133084
724,8094,18492,38789,331253
725,3749,45318,64803,124120
726,4866,11639,52983,155547
727,7766,9613,74248,338955
728,6151,26212,51874,174710
729,4308,14462,70081,191928
730,20165,31658,48570,90715
731,4519,25874,74204,138862
732,8359,30090,64424,155452
733,4639,11243,79199,286963
734,4925,29291,31376,236175
735,5446,13352,47451,175425
736,4169,14696,66337,172476
737,3220,17549,104637,207518
738,11874,29980,61573,297410
739,5674,12659,60200,280099
740,4710,16220,63426,143780
741,2746,12771,55399,89454
742,4694,21534,56325,357757
743,4728,12036,125265,95962
744,3645,15407,74344,320219
745,3278,16572,68904,217578
746,4233,28265,47121,186947
747,4924,12644,44562,371692
748,5434,22053,27445,147444
749,5641,44168,88516,154577
750,5777,22314,60525,167136
751,7868,52416,38339,275673
752,5305,13760,54324,176237
753,7150,18885,22201,122169
754,11832,12825,86121,63704
755,3167,10372,31973,226217
756,6598,34539,40404,314875
757,5483,27685,61147,273428
758,9148,12775,62153,95017
759,4715,14570,68639,207980
760,7315,29193,69867,159047
761,6411,15014,49786,130468
762,4041,26733,65879,277801
763,11082,29540,76642,124500
764,6057,17364,40512,203833
765,4849,37236,37246,150440
766,3803,23336,51342,88842
767,7433,12376,77449,84946
768,7173,23245,45476,228513
769,15491,21387,50204,389564
770,7062,18071,32319,156969
771,3436,19325,53790,245246
772,8840,22111,73014,115901
773,5849,21251,66376,292185
774,4678,13668,39021,171805
775,8810,17431,42094,184142
776,4211,36692,38167,178276
777,4689,18017,38443,154686
778,19771,12076,51952,370197
779,4690,26307,49960,107996
780,6007,17559,65579,190844
781,8884,20532,36093,142760
782,5260,32060,60658,181284
783,6719,20802,57175,146630
784,6254,19046,53561,218598
785,5285,20781,49951,337888
786,4762,11248,55301,138519
787,4992,20939,22175,252793
788,6199,20994,52786,202483
789,5090,16067,61388,165785
790,3303,33397,53242,199451
791,13122,11740,72643,185612
792,6643,8670,72948,412743
793,10900,16260,53509,100435
794,8629,13304,52143,166133
795,6612,18703,46287,139949
796,4134,20701,70906,265371
797,12611,32120,36809,174587
798,7632,21198,79896,130923
799,3988,15755,31094,207450
800,3719,10642,47709,287726
801,3899,13434,54259,151401
802,6823,20391,43854,149464
803,12985,17122,63086,257856
804,7789,16216,39147,284367
805,5071,15076,50138,116845
806,8552,33087,114394,619038
807,6593,32386,58123,253445
808,6307,25324,78289,136748
809,8992,9437,30759,87828
810,16915,19576,78025,103021
811,8433,21332,43984,344826
812,8470,21421,61011,268877
813,4780,7624,54506,314879
814,7685,12122,31408,317720
815,11719,8718,26039,247934
816,3299,18417,48814,285344
817,4756,18644,54460,190805
818,5089,33489,56218,218870
819,2656,22071,66322,117235
820,5092,37146,40979,131126
821,10119,13432,65775,73559
822,16742,31903,43444,292007
823,7893,18825,98262,159682
824,4598,16741,63499,205091
825,10411,41522,49217,240663
826,10500,13196,137014,179092
827,3879,27472,29741,159377
828,10380,12886,34796,176549
829,9310,27607,44264,117203
830,5476,17308,48718,202089
831,5221,48029,61530,309852
832,5714,14449,30944,301301
833,5713,13433,138834,76137
834,15221,15223,66879,297699
835,5521,31150,46985,135997
836,7731,17467,87913,160189
837,9175,36554,87956,204583
838,6768,32747,88118,113293
839,13479,43148,46503,135273
840,8503,58908,49725,257388
841,8020,13474,78826,207785
842,4269,12538,66435,212875
843,4061,11329,43185,162723
844,7697,46815,76680,175083
845,8066,21360,76850,167372
846,8914,31767,41652,105360
847,6631,15502,58336,86557
848,3665,17383,66294,305012
849,3700,13334,106693,142604
850,4206,42132,74736,166682
851,3912,31426,57427,270198
852,9414,27426,50466,239274
853,3967,20818,61551,476923
854,8687,21670,32156,322830
855,10378,27479,56915,88500
856,7327,14410,47887,217998
857,8360,36513,77850,176925
858,4381,18636,60718,302606
859,6018,36261,37001,245988
860,9245,15786,66781,148300
861,8430,18227,45566,128597
862,6418,17524,108465,149301
863,7939,17942,49462,189057
864,7794,27690,35535,315495
865,2821,31076,50268,138283
866,5807,14566,65320,141736
867,8045,19142,70879,191270
868,8953,12644,223350,159394
869,5052,12674,65395,248982
870,5095,50843,47945,107688
871,10303,12653,83002,141867
872,4899,10291,61841,96365
873,4983,33862,31770,199953
874,3214,20704,64207,105210
875,15197,18997,90804,125380
876,4635,13121,104355,133900
877,8235,18056,93281,177036
878,3517,15345,55256,228125
879,7931,21409,79206,165526
880,4383,29177,66482,198517
881,7580,16345,26076,121273
882,10156,20026,36912,187310
883,5486,19686,105385,115071
884,3514,10066,44620,159026
885,3784,16898,53271,221403
886,3939,26855,48744,178902
887,5564,15986,61620,311679
888,7447,14893,70539,251721
889,7778,24249,79362,178802
890,7198,11936,58835,137136
891,11059,15352,90382,85413
892,3748,21348,73756,138944
893,11037,23360,58863,188333
894,2907,18153,73757,67472
895,6388,29118,45208,122182
896,10015,14550,65537,144941
897,3429,14605,173608,127997
898,6344,17310,60358,206219
899,6070,30132,30614,225897
900,6870,21560,64130,414193
901,2833,40733,100532,175703
902,4701,20937,45843,101800
903,9373,12571,62924,317018
904,3998,7401,201579,471227
905,6695,12166,53530,327376
906,3402,23121,78876,120840
907,6546,31174,55785,138438
908,9261,21104,31699,189146
909,6303,18953,43653,261853
910,5816,14543,69676,174172
911,4775,24255,29113,123835
912,5412,13328,62376,194014
913,12388,12071,62911,208125
914,7943,15670,38130,149318
915,6440,16129,52643,165291
916,14190,12340,59530,251445
917,9291,9986,75830,139829
918,3016,23399,79719,152813
919,6009,23928,59648,115905
920,8722,17933,102882,88592
921,5486,16054,34801,211121
922,13047,11164,46203,135384
923,3588,13179,87451,106036
924,8006,17602,42169,113973
925,7611,20655,53678,123773
926,6679,20830,104365,141918
927,6658,20386,128108,347590
928,12343,15350,50902,168456
929,4862,11869,43627,229245
930,8932,12701,83646,332847
931,5095,15688,64640,456625
932,6692,11543,93483,124734
933,9991,23007,52622,226330
934,11064,16720,72312,193805
935,6377,11677,39285,313024
936,4705,15446,62871,300356
937,3393,21862,46408,106000
938,6227,12305,44874,150431
939,10689,18829,67053,188857
940,6170,18299,76909,214301
941,5470,16121,54413,237231
942,6739,25155,64450,160775
943,5387,42587,37648,244842
944,5442,14147,70650,206414
945,4789,49361,36349,128206
946,7329,26367,40765,106707
947,7071,12402,51312,137562
